story_id,source_order,title_en,title_zh,word_count,story_type,theme_category,one_sentence_summary,possible_foreshadowing
chekhov_the_horse_stealers_01,1,THE HORSE-STEALERS,盗马贼,6642,医病与死亡,自然/风景、疾病/医学、饮酒,《盗马贼》写疾病、衰老、死亡或精神压力引出的遭遇，以自然/风景和疾病/医学为主要线索，呈现契诃夫式的医病和死亡。,狗、马、雪等开篇意象（候选）
chekhov_ward_no_6_01,2,WARD NO. 6,第六病室,21449,医病与死亡,疾病/医学、贫困/阶级、宗教/信仰,《第六病室》写疾病、衰老、死亡或精神压力引出的遭遇，以疾病/医学和贫困/阶级为主要线索，呈现契诃夫式的医病和死亡。,窗户等开篇意象（候选）
chekhov_the_petchenyeg_01,3,THE PETCHENYEG,佩切涅格人,4216,乡村与自然,自然/风景、家庭、贫困/阶级,《佩切涅格人》写乡村空间、自然景物和底层生活交织的经验，以自然/风景和家庭为主要线索，呈现契诃夫式的乡村和自然。,金钱、窗户、枪等开篇意象（候选）
chekhov_a_dead_body_01,4,A DEAD BODY,一具尸体,1781,医病与死亡,死亡、宗教/信仰、贫困/阶级,《一具尸体》写疾病、衰老、死亡或精神压力引出的遭遇，以死亡和宗教/信仰为主要线索，呈现契诃夫式的医病和死亡。,花园、道路、灯火等开篇意象（候选）
chekhov_a_happy_ending_01,5,A HAPPY ENDING,幸福的结局,1566,家庭与婚恋,家庭、饮酒、贫困/阶级,《幸福的结局》写婚恋、亲属关系或家庭身份中的错位，以家庭和饮酒为主要线索，呈现契诃夫式的家庭和婚恋。,金钱、坟墓、黑暗等开篇意象（候选）
chekhov_the_looking_glass_01,6,THE LOOKING-GLASS,镜子,1524,医病与死亡,疾病/医学、家庭、死亡,《镜子》写疾病、衰老、死亡或精神压力引出的遭遇，以疾病/医学和家庭为主要线索，呈现契诃夫式的医病和死亡。,狗、医生、花园等开篇意象（候选）
chekhov_old_age_01,7,OLD AGE,老年,2050,医病与死亡,家庭、贫困/阶级、死亡,《老年》写疾病、衰老、死亡或精神压力引出的遭遇，以家庭和贫困/阶级为主要线索，呈现契诃夫式的医病和死亡。,狗、教堂等开篇意象（候选）
chekhov_darkness_01,8,DARKNESS,黑暗,1577,医病与死亡,疾病/医学、官僚/社会、家庭,《黑暗》写疾病、衰老、死亡或精神压力引出的遭遇，以疾病/医学和官僚/社会为主要线索，呈现契诃夫式的医病和死亡。,医生、法庭、道路等开篇意象（候选）
chekhov_the_beggar_01,9,THE BEGGAR,乞丐,2021,宗教与哲思,贫困/阶级、宗教/信仰、官僚/社会,《乞丐》写信仰、良知和人生意义上的困惑，以贫困/阶级和宗教/信仰为主要线索，呈现契诃夫式的宗教和哲思。,黑暗等开篇意象（候选）
chekhov_a_story_without_a_title_01,10,A STORY WITHOUT A TITLE,无题的故事,1664,艺术与自我意识,饮酒、宗教/信仰、爱情/浪漫,《无题的故事》写表演、写作、审美或自我想象中的落差，以饮酒和宗教/信仰为主要线索，呈现契诃夫式的艺术和自我意识。,坟墓等开篇意象（候选）
chekhov_in_trouble_01,11,IN TROUBLE,困境,2496,家庭与婚恋,官僚/社会、家庭、贫困/阶级,《困境》写婚恋、亲属关系或家庭身份中的错位，以官僚/社会和家庭为主要线索，呈现契诃夫式的家庭和婚恋。,教堂等开篇意象（候选）
chekhov_frost_01,12,FROST,严寒,2557,乡村与自然,饮酒、宗教/信仰、家庭,《严寒》写乡村空间、自然景物和底层生活交织的经验，以饮酒和宗教/信仰为主要线索，呈现契诃夫式的乡村和自然。,狗、风、法庭等开篇意象（候选）
chekhov_a_slander_01,13,A SLANDER,诽谤,1428,艺术与自我意识,宗教/信仰、艺术/创作、爱情/浪漫,《诽谤》写表演、写作、审美或自我想象中的落差，以宗教/信仰和艺术/创作为主要线索，呈现契诃夫式的艺术和自我意识。,狗、灯火等开篇意象（候选）
chekhov_minds_in_ferment_01,14,MINDS IN FERMENT,骚动的心,1343,乡村与自然,家庭、自然/风景、贫困/阶级,《骚动的心》写乡村空间、自然景物和底层生活交织的经验，以家庭和自然/风景为主要线索，呈现契诃夫式的乡村和自然。,花园等开篇意象（候选）
chekhov_gone_astray_01,15,GONE ASTRAY,迷路,1501,家庭与婚恋,家庭、饮酒、自然/风景,《迷路》写婚恋、亲属关系或家庭身份中的错位，以家庭和饮酒为主要线索，呈现契诃夫式的家庭和婚恋。,窗户、火柴、灯火等开篇意象（候选）
chekhov_an_avenger_01,16,AN AVENGER,复仇者,1769,犯罪与悬疑,死亡、家庭、爱情/浪漫,《复仇者》写罪案、秘密、恐惧或道德试探推动的事件，以死亡和家庭为主要线索，呈现契诃夫式的犯罪和悬疑。,棺材等开篇意象（候选）
chekhov_the_jeune_premier_01,17,THE JEUNE PREMIER,男主角,1760,艺术与自我意识,艺术/创作、爱情/浪漫、贫困/阶级,《男主角》写表演、写作、审美或自我想象中的落差，以艺术/创作和爱情/浪漫为主要线索，呈现契诃夫式的艺术和自我意识。,信件、金钱等开篇意象（候选）
chekhov_a_defenceless_creature_01,18,A DEFENCELESS CREATURE,无助的弱者,1755,家庭与婚恋,家庭、贫困/阶级、疾病/医学,《无助的弱者》写婚恋、亲属关系或家庭身份中的错位，以家庭和贫困/阶级为主要线索，呈现契诃夫式的家庭和婚恋。,教堂等开篇意象（候选）
chekhov_an_enigmatic_nature_01,19,AN ENIGMATIC NATURE,谜样的性格,804,家庭与婚恋,宗教/信仰、爱情/浪漫、官僚/社会,《谜样的性格》写婚恋、亲属关系或家庭身份中的错位，以宗教/信仰和爱情/浪漫为主要线索，呈现契诃夫式的家庭和婚恋。,窗户等开篇意象（候选）
